State/Region/County,Apr-25,Mar-25,,Apr-24,,Price MTM% Chg,Price YTY% Chg,Sales MTM% Chg,Sales YTY% Chg
CA SFH (SAAR),"$910,160","$884,350",,"$904,010",region,2.90%,0.70%,-3.40%,-0.20%
CA Condo/Townhomes,"$670,000","$680,630",,"$688,000",region,-1.60%,-2.60%,5.20%,-2.20%
Los Angeles Metropolitan Area,"$850,000","$834,830",,"$840,000",region,1.80%,1.20%,8.30%,-0.50%
Central Coast,"$1,090,000","$1,107,500",,"$1,077,500",region,-1.60%,1.20%,23.10%,10.50%
Central Valley,"$495,000","$495,000",,"$493,500",region,0.00%,0.30%,9.60%,3.40%
Far North,"$380,500","$385,000",,"$364,950",region,-1.20%,4.30%,3.90%,-2.80%
Inland Empire,"$611,990","$609,230",,"$607,000",region,0.50%,0.80%,5.80%,4.60%
S.F. Bay Area,"$1,419,000","$1,400,000",,"$1,444,000",region,1.40%,-1.70%,16.20%,-1.40%
Southern California,"$887,000","$877,750",,"$880,000",region,1.10%,0.80%,11.10%,1.60%
Alameda,"$1,351,000","$1,380,000",,"$1,401,250",county,-2.10%,-3.60%,8.30%,-2.80%
Contra Costa,"$900,000","$907,000",,"$940,000",county,-0.80%,-4.30%,5.50%,-12.90%
Marin,"$1,720,000","$1,700,000",,"$1,700,000",county,1.20%,1.20%,31.00%,18.20%
Napa,"$940,000","$1,004,660",,"$950,000",county,-6.40%,-1.10%,3.40%,-27.40%
San Francisco,"$1,780,000","$1,818,380",,"$1,800,000",county,-2.10%,-1.10%,16.80%,1.40%
San Mateo,"$2,281,500","$2,260,000",,"$2,150,000",county,1.00%,6.10%,31.90%,4.70%
Santa Clara,"$2,121,000","$2,125,000",,"$2,000,000",county,-0.20%,6.10%,22.70%,2.60%
Solano,"$582,000","$599,000",,"$590,000",county,-2.80%,-1.40%,6.60%,3.60%
Sonoma,"$854,500","$857,500",,"$850,000",county,-0.30%,0.50%,36.70%,4.70%
Imperial,"$405,000","$407,500",,"$377,500",county,-0.60%,7.30%,19.60%,34.10%
Los Angeles,"$850,270","$829,260",,"$825,970",county,2.50%,2.90%,12.90%,-2.60%
Orange,"$1,417,450","$1,450,000",,"$1,440,000",county,-2.20%,-1.60%,6.10%,-4.10%
Riverside,"$645,000","$638,810",,"$642,000",county,1.00%,0.50%,0.50%,0.50%
San Bernardino,"$499,500","$522,700",,"$500,000",county,-4.40%,-0.10%,12.70%,13.50%
San Diego,"$1,015,000","$1,040,000",,"$1,047,500",county,-2.40%,-3.10%,22.50%,9.40%
Ventura,"$944,500","$940,000",,"$940,000",county,0.50%,0.50%,0.30%,-4.20%
Monterey,"$917,000","$936,500",,"$986,500",county,-2.10%,-7.00%,34.40%,28.40%
San Luis Obispo,"$942,050","$966,500",,"$894,500",county,-2.50%,5.30%,8.30%,-2.20%
Santa Barbara,"$1,550,000","$1,409,200",,"$1,400,000",county,10.00%,10.70%,20.40%,13.70%
Santa Cruz,"$1,277,500","$1,402,500",,"$1,420,000",county,-8.90%,-10.00%,39.10%,5.80%
Fresno,"$425,000","$435,000",,"$421,940",county,-2.30%,0.70%,23.50%,16.10%
Glenn,"$307,000","$325,000",,"$362,000",county,-5.50%,-15.20%,0.00%,30.00%
Kern,"$395,000","$399,740",,"$377,000",county,-1.20%,4.80%,7.60%,-0.80%
Kings,"$363,490","$365,000",,"$379,000",county,-0.40%,-4.10%,5.60%,28.80%
Madera,"$433,480","$446,340",,"$457,500",county,-2.90%,-5.30%,9.10%,4.30%
Merced,"$408,000","$412,500",,"$399,000",county,-1.10%,2.30%,13.40%,3.30%
Placer,"$665,000","$665,000",,"$671,740",county,0.00%,-1.00%,0.20%,-5.80%
Sacramento,"$550,000","$560,000",,"$548,580",county,-1.80%,0.30%,19.70%,6.20%
San Benito,"$740,000","$769,000",,"$807,500",county,-3.80%,-8.40%,22.90%,34.40%
San Joaquin,"$550,000","$550,000",,"$540,000",county,0.00%,1.90%,8.10%,-10.80%
Stanislaus,"$485,000","$483,970",,"$485,000",county,0.20%,0.00%,-7.80%,1.00%
Tulare,"$380,660","$388,120",,"$379,990",county,-1.90%,0.20%,-5.70%,6.00%
Butte,"$465,000","$444,000",,"$450,000",county,4.70%,3.30%,27.60%,4.30%
Lassen,"$305,000","$219,000",,"$205,000",county,39.30%,48.80%,75.00%,31.30%
Plumas,"$495,000","$290,000",,"$320,000",county,70.70%,54.70%,0.00%,-15.00%
Shasta,"$374,380","$375,000",,"$360,000",county,-0.20%,4.00%,-6.40%,-9.00%
Siskiyou,"$290,000","$364,400",,"$278,000",county,-20.40%,4.30%,-34.60%,-37.00%
Tehama,"$360,000","$355,000",,"$309,750",county,1.40%,16.20%,-10.70%,25.00%
Trinity,"$332,790","$392,500",,"$212,000",county,-15.20%,57.00%,150.00%,100.00%
Amador,"$465,000","$440,000",,"$426,500",county,5.70%,9.00%,10.80%,-14.60%
Calaveras,"$455,000","$430,000",,"$493,000",county,5.80%,-7.70%,8.90%,-18.30%
Del Norte,"$380,000","$185,000",,"$445,000",county,105.40%,-14.60%,28.60%,-25.00%
El Dorado,"$675,000","$722,500",,"$757,000",county,-6.60%,-10.80%,9.20%,-3.20%
Humboldt,"$439,380","$390,000",,"$400,000",county,12.70%,9.80%,25.30%,11.90%
Lake,"$325,000","$329,000",,"$340,000",county,-1.20%,-4.40%,28.60%,6.80%
Mariposa,"$449,000","$339,000",,"$549,500",county,32.40%,-18.30%,-30.80%,-59.10%
Mendocino,"$460,650","$555,880",,"$583,500",county,-17.10%,-21.10%,21.10%,0.00%
Mono,"$1,050,000","$1,400,000",,"$1,077,380",county,-25.00%,-2.50%,-46.20%,133.30%
Nevada,"$589,500","$561,000",,"$599,000",county,5.10%,-1.60%,28.90%,18.10%
Sutter,"$440,000","$424,000",,"$428,500",county,3.80%,2.70%,41.90%,29.40%
Tuolumne,"$380,000","$403,000",,"$452,000",county,-5.70%,-15.90%,-1.60%,12.70%
Yolo,"$635,000","$615,000",,"$615,000",county,3.30%,3.30%,0.00%,3.70%
Yuba,"$427,500","$448,800",,"$427,950",county,-4.70%,-0.10%,10.10%,-17.40%