Mon-Yr,CA,Alameda,Amador,Butte,Calaveras,Contra-Costa,Del Norte,El Dorado,Fresno,Glenn,Humboldt,Imperial,Kern,Kings,Lake,Lassen,Los Angeles,Madera,Marin,Mariposa,Mendocino,Merced,Mono,Monterey,Napa,Nevada,Orange,Placer,Plumas,Riverside,Sacramento,San Benito,San Bernardino,San Diego,San Francisco,San Joaquin,San Luis Obispo,San Mateo,Santa Barbara,Santa Clara,Santa Cruz,Shasta,Siskiyou,Solano,Sonoma,Stanislaus,Sutter,Tehama,Trinity,Tulare,Tuolumne,Ventura,Yolo,Yuba,,Condo,LA Metro,Central Coast,Central Valley,Far North,Inland Empire,S.F. Bay Area,SoCal
Dec-22,"$770,490","$1,050,000","$400,000","$408,500","$449,500","$760,000","$331,250","$580,000","$396,000","$286,750","$392,500","$340,000","$365,000","$337,000","$370,000","$170,000","$799,670","$410,500","$1,500,000","$359,000","$599,000","$340,000","$765,000","$775,000","$824,000","$512,500","$1,131,760","$620,000","$395,000","$575,000","$489,900","$765,000","$466,940","$850,000","$1,564,000","$515,000","$830,000","$1,675,000","$1,055,000","$1,478,000","$1,175,000","$348,000","$295,000","$580,000","$785,000","$420,000","$383,500","$285,600","$280,000","$353,500","$380,000","$818,000","$590,500","$414,000",,"$587,000","$716,500","$869,860","$438,000","$350,000","$535,000","$1,050,000","$743,180"
Jan-23,"$751,700","$1,015,000","$399,000","$410,000","$455,000","$725,000","$300,000","$575,000","$375,000","$392,500","$395,000","$343,500","$357,500","$365,000","$310,000","$260,000","$778,540","$387,460","$1,201,000","$372,500","$389,000","$369,000","$1,125,500","$850,000","$790,000","$470,000","$1,194,500","$620,000","$350,000","$585,000","$499,000","$719,000","$446,900","$824,900","$1,385,000","$509,900","$795,750","$1,625,000","$890,000","$1,530,000","$1,170,000","$373,750","$385,860","$580,000","$781,930","$410,000","$395,000","$314,900","$380,000","$332,720","$388,000","$815,000","$530,000","$425,000",,"$580,000","$700,000","$894,500","$430,750","$369,000","$540,000","$995,000","$738,250"
Feb-23,"$735,300","$1,066,000","$415,000","$405,000","$437,500","$750,000","$300,000","$622,000","$385,000","$295,000","$417,250","$325,000","$375,000","$352,000","$305,000","$212,500","$726,870","$378,000","$1,447,500","$353,000","$495,500","$381,950","$802,500","$775,500","$830,000","$475,000","$1,159,000","$631,250","$305,000","$595,000","$499,000","$730,000","$466,500","$878,000","$1,465,000","$513,900","$795,000","$2,080,000","$860,000","$1,500,000","$1,201,000","$350,000","$208,000","$555,000","$774,500","$430,000","$412,500","$332,000",NA,"$340,000","$361,000","$805,000","$545,000","$432,760",,"$615,000","$710,000","$856,000","$450,000","$369,000","$549,900","$1,025,000","$744,400"
Mar-23,"$793,260","$1,205,000","$414,940","$421,650","$438,000","$812,500","$400,000","$620,000","$409,500","$370,000","$450,000","$347,400","$365,000","$355,000","$351,250","$249,000","$718,370","$417,000","$1,600,000","$399,500","$492,500","$400,000","$750,000","$900,000","$890,000","$539,000","$1,250,000","$640,000","$310,000","$612,000","$500,000","$750,000","$475,000","$915,000","$1,700,000","$544,550","$895,000","$1,860,000","$769,000","$1,700,000","$1,205,000","$364,000","$240,000","$585,000","$829,000","$450,000","$385,000","$283,180","$430,000","$344,000","$387,000","$849,000","$619,010","$426,500",,"$640,000","$735,000","$922,500","$455,000","$355,000","$555,000","$1,200,000","$765,000"
Apr-23,"$811,510","$1,225,000","$475,000","$469,000","$495,000","$900,000","$315,000","$717,220","$413,000","$349,000","$439,000","$338,000","$375,000","$361,000","$317,000","$252,950","$738,520","$420,000","$1,790,000","$425,000","$485,000","$365,120","$1,177,750","$952,500","$815,000","$550,000","$1,225,000","$650,000","$319,250","$615,000","$515,000","$768,000","$450,000","$930,000","$1,587,500","$520,000","$925,000","$1,970,000","$1,080,500","$1,800,000","$1,349,500","$390,000","$289,000","$580,000","$840,000","$451,000","$405,000","$315,000","$307,500","$357,000","$419,050","$885,500","$605,000","$447,450",,"$634,000","$740,000","$1,020,000","$463,000","$385,000","$565,000","$1,250,000","$785,000"
May-23,"$835,280","$1,260,000","$449,000","$436,950","$550,000","$888,000","$315,000","$660,000","$420,000","$345,000","$435,000","$350,000","$379,320","$370,000","$398,000","$224,900","$744,770","$411,610","$1,800,000","$382,500","$532,500","$395,000","$850,000","$902,000","$888,500","$552,500","$1,256,500","$682,500","$355,000","$629,000","$535,000","$735,000","$455,000","$935,000","$1,654,000","$531,950","$874,500","$2,075,000","$1,275,000","$1,788,000","$1,352,500","$385,000","$256,000","$600,000","$860,000","$463,500","$439,500","$348,000","$263,250","$375,060","$424,500","$925,500","$646,730","$440,990",,"$635,000","$765,000","$1,000,000","$485,000","$380,000","$574,990","$1,300,000","$800,000"
Jun-23,"$837,850","$1,305,000","$470,000","$413,500","$459,000","$930,000","$410,000","$700,000","$429,390","$360,000","$440,000","$378,160","$381,180","$355,000","$342,500","$261,250","$832,310","$447,700","$1,715,000","$450,000","$520,000","$390,650","$925,000","$796,370","$843,750","$573,860","$1,260,000","$667,500","$390,000","$628,000","$530,000","$750,000","$470,000","$958,250","$1,595,000","$530,400","$865,000","$2,039,000","$1,197,000","$1,825,000","$1,200,000","$385,000","$289,900","$590,000","$850,000","$460,000","$437,000","$362,500","$305,000","$375,000","$413,000","$927,500","$617,000","$445,000",,"$650,000","$775,000","$984,500","$480,000","$380,000","$570,000","$1,323,810","$815,000"
Jul-23,"$832,530","$1,260,000","$442,000","$429,000","$476,500","$900,000","$349,000","$650,000","$417,500","$372,500","$465,000","$387,500","$395,000","$385,000","$335,000","$280,000","$851,540","$426,000","$1,609,500","$459,000","$540,000","$390,000","$785,000","$949,000","$927,500","$579,900","$1,300,000","$660,000","$364,050","$615,000","$547,000","$745,000","$485,000","$969,020","$1,460,000","$545,000","$860,000","$1,984,000","$994,470","$1,800,000","$1,300,000","$379,000","$296,000","$600,560","$850,960","$465,000","$402,000","$320,000","$320,000","$370,520","$463,500","$920,000","$625,000","$415,000",,"$645,000","$790,000","$985,000","$489,000","$375,000","$575,000","$1,255,000","$830,000"
Aug-23,"$859,670","$1,250,000","$490,000","$436,250","$475,000","$844,440","$382,500","$657,000","$425,000","$321,000","$421,920","$336,500","$394,500","$382,500","$325,000","$225,000","$882,010","$453,000","$1,475,000","$480,000","$560,000","$385,000","$970,000","$897,000","$1,055,000","$555,000","$1,310,000","$669,000","$412,000","$618,000","$535,000","$777,550","$495,000","$1,000,000","$1,576,000","$535,000","$868,810","$1,950,000","$1,295,000","$1,852,500","$1,200,000","$365,000","$305,500","$599,000","$850,000","$465,000","$425,000","$312,050","$205,000","$372,000","$389,500","$915,000","$622,500","$449,500",,"$657,000","$792,500","$950,000","$485,000","$369,000","$569,990","$1,260,000","$830,000"
Sep-23,"$843,500","$1,300,000","$414,250","$429,420","$537,500","$871,250","$400,000","$685,000","$410,000","$300,000","$422,500","$375,000","$383,000","$370,750","$260,000","$181,250","$914,340","$410,000","$1,650,000","$432,500","$448,000","$384,500","$935,000","$943,340","$890,000","$563,000","$1,310,000","$665,000","$441,250","$600,000","$545,000","$761,250","$475,000","$973,100","$1,580,000","$550,000","$888,000","$1,955,000","$1,030,000","$1,853,000","$1,165,000","$385,000","$325,000","$585,680","$848,000","$469,500","$430,000","$310,000","$320,000","$385,000","$419,000","$962,500","$608,640","$433,250",,"$650,000","$780,000","$950,000","$481,000","$385,000","$550,000","$1,300,000","$820,000"
Oct-23,"$839,990","$1,240,000","$410,000","$421,400","$405,500","$824,950","$307,500","$660,000","$410,000","$363,000","$432,500","$380,000","$395,000","$360,000","$365,000","$247,500","$893,650","$435,000","$1,712,500","$485,000","$430,000","$392,750","$1,050,000","$1,122,500","$1,027,500","$538,000","$1,275,000","$685,000","$385,250","$610,000","$550,000","$780,000","$475,000","$936,250","$1,650,000","$550,000","$887,620","$2,100,000","$1,370,000","$1,805,000","$1,229,000","$389,500","$295,000","$620,000","$857,500","$460,000","$425,750","$370,000","$320,000","$358,500","$410,000","$899,000","$629,900","$424,900",,"$660,000","$785,000","$1,050,000","$473,000","$376,000","$561,410","$1,268,940","$820,000"
Nov-23,"$821,710","$1,230,000","$403,000","$428,500","$512,500","$860,000","$420,000","$650,000","$415,000","$324,000","$430,750","$385,330","$375,000","$355,000","$318,500","$170,000","$897,990","$414,500","$1,649,500","$320,000","$532,000","$367,500","$985,000","$944,000","$825,000","$585,000","$1,300,000","$659,000","$400,000","$610,400","$522,290","$782,500","$455,000","$952,000","$1,535,000","$550,000","$894,500","$1,805,000","$900,000","$1,717,500","$1,300,000","$367,500","$325,000","$570,000","$793,620","$470,000","$397,000","$287,000","$211,000","$375,000","$381,250","$902,500","$620,000","$461,320",,"$660,000","$785,000","$955,000","$474,800","$375,000","$567,500","$1,250,000","$824,500"
Dec-23,"$819,820","$1,175,000","$415,000","$418,000","$437,500","$800,000","$487,000","$660,000","$397,000","$349,500","$425,000","$315,000","$374,180","$380,000","$315,000","$272,500","$853,340","$410,500","$1,555,000","$442,000","$599,000","$385,000","$1,052,500","$929,000","$925,000","$537,000","$1,300,000","$633,020","$360,000","$605,000","$535,000","$789,890","$475,000","$911,500","$1,450,000","$530,000","$956,000","$1,800,000","$1,190,000","$1,725,000","$1,050,000","$355,760","$331,500","$562,000","$812,930","$462,500","$429,500","$305,000","$287,000","$362,000","$444,000","$882,500","$630,000","$440,000",,"$635,000","$760,000","$979,500","$462,000","$364,500","$570,000","$1,182,000","$790,000"
Jan-24,"$789,480","$1,103,000","$444,500","$390,000","$434,500","$770,000","$295,000","$650,000","$406,000","$349,000","$410,000","$380,000","$375,000","$365,000","$325,000","$229,000","$833,000","$466,080","$1,524,500","$431,500","$494,000","$380,000","$1,304,500","$825,000","$989,500","$525,000","$1,320,000","$620,000","$363,620","$600,000","$515,000","$760,000","$460,000","$925,000","$1,530,000","$530,000","$910,000","$1,975,000","$1,280,000","$1,710,440","$1,190,000","$395,000","$329,000","$575,000","$829,900","$450,000","$435,000","$340,000","$402,500","$349,000","$360,750","$870,000","$600,360","$455,000",,"$630,000","$750,000","$926,000","$460,000","$361,500","$559,280","$1,100,000","$790,000"
Feb-24,"$806,480","$1,300,000","$407,500","$451,120","$475,000","$850,000","$295,000","$647,500","$420,000","$360,000","$420,000","$355,000","$386,500","$339,950","$315,000","$263,000","$817,100","$417,880","$1,610,000","$390,000","$499,000","$401,600","$1,097,500","$860,000","$882,500","$530,000","$1,350,000","$650,000","$370,000","$624,900","$530,000","$795,000","$450,000","$980,000","$1,590,000","$529,000","$900,000","$1,922,500","$976,000","$1,808,890","$1,232,500","$366,250","$340,000","$580,000","$826,500","$460,000","$415,000","$349,000","$280,000","$359,990","$430,000","$890,000","$618,940","$426,500",,"$660,000","$790,000","$950,000","$478,200","$379,000","$576,500","$1,256,500","$827,000"
Mar-24,"$854,370","$1,400,000","$482,500","$434,000","$454,500","$890,000","$381,250","$677,000","$413,000","$340,000","$429,970","$349,000","$382,180","$345,000","$315,000","$247,000","$805,100","$435,000","$1,957,500","$415,000","$375,000","$392,000","$1,250,000","$932,500","$880,000","$525,000","$1,400,000","$659,000","$400,000","$630,000","$550,000","$768,000","$470,420","$1,020,000","$1,745,000","$550,000","$850,000","$2,170,000","$1,015,000","$1,910,000","$1,300,000","$364,000","$318,880","$584,950","$865,000","$460,000","$403,200","$286,250","$360,000","$374,990","$400,000","$918,040","$635,830","$452,570",,"$675,000","$801,000","$950,000","$478,600","$372,450","$594,250","$1,386,500","$850,000"
Apr-24,"$904,010","$1,401,250","$426,500","$450,000","$493,000","$940,000","$445,000","$757,000","$421,940","$362,000","$400,000","$377,500","$377,000","$379,000","$340,000","$205,000","$825,970","$457,500","$1,700,000","$549,500","$583,500","$399,000","$1,077,380","$986,500","$950,000","$599,000","$1,440,000","$671,740","$320,000","$642,000","$548,580","$807,500","$500,000","$1,047,500","$1,800,000","$540,000","$894,500","$2,150,000","$1,400,000","$2,000,000","$1,420,000","$360,000","$278,000","$590,000","$850,000","$485,000","$428,500","$309,750","$212,000","$379,990","$452,000","$940,000","$615,000","$427,950",,"$688,000","$840,000","$1,077,500","$493,500","$364,950","$607,000","$1,444,000","$880,000"
May-24,"$908,040","$1,375,000","$420,000","$442,000","$471,000","$942,500","$230,000","$699,000","$425,000","$329,250","$450,000","$405,000","$400,000","$361,000","$351,250","$274,500","$811,610","$429,000","$1,800,000","$502,500","$477,500","$400,000","$812,500","$1,047,000","$987,000","$560,000","$1,422,500","$675,000","$529,000","$650,000","$555,000","$734,950","$488,900","$1,025,000","$1,690,000","$560,000","$885,000","$2,400,000","$1,375,000","$2,100,000","$1,355,000","$390,000","$334,500","$605,000","$880,450","$489,500","$427,500","$350,000","$360,000","$383,640","$430,000","$925,000","$653,980","$449,950",,"$690,000","$840,000","$1,059,000","$507,080","$400,000","$598,490","$1,455,000","$880,000"
Jun-24,"$900,720","$1,369,210","$450,000","$475,900","$495,000","$903,000","$350,000","$709,000","$428,890","$350,000","$490,620","$385,000","$375,000","$391,400","$352,500","$267,500","$889,180","$415,070","$1,800,000","$374,500","$521,690","$421,000","$1,240,000","$1,039,000","$952,500","$625,000","$1,450,000","$685,000","$465,000","$643,500","$560,000","$854,000","$522,500","$1,054,180","$1,650,000","$550,000","$890,000","$2,110,000","$1,355,500","$1,955,000","$1,413,000","$396,950","$362,120","$601,250","$835,000","$495,000","$500,000","$375,000","$322,100","$375,000","$439,500","$964,500","$649,500","$446,750",,"$697,000","$835,000","$1,072,000","$503,000","$409,000","$600,000","$1,400,000","$875,000"
Jul-24,"$886,560","$1,280,000","$399,000","$430,000","$474,000","$916,500","$400,000","$695,000","$420,000","$330,500","$442,500","$385,000","$413,000","$369,000","$350,000","$265,000","$909,010","$424,350","$1,594,000","$472,500","$549,500","$413,500","$680,000","$945,000","$1,052,500","$609,480","$1,390,000","$670,000","$528,000","$650,000","$560,000","$778,000","$515,000","$1,020,000","$1,600,000","$585,000","$1,035,000","$2,100,000","$827,500","$1,880,000","$1,355,000","$394,450","$326,770","$586,400","$850,000","$485,000","$435,000","$290,000","$297,500","$380,000","$385,000","$972,000","$610,000","$438,400",,"$680,000","$849,000","$1,064,000","$500,000","$386,450","$600,000","$1,300,000","$881,000"
Aug-24,"$888,740","$1,272,500","$431,000","$458,000","$505,000","$841,950","$450,000","$650,000","$434,940","$325,000","$434,500","$410,640","$399,500","$380,000","$329,950","$236,000","$919,890","$430,750","$1,450,000","$410,000","$567,500","$415,000","$1,160,000","$900,000","$976,500","$560,000","$1,400,000","$675,000","$547,420","$630,000","$559,000","$812,500","$515,000","$1,010,000","$1,528,500","$560,000","$942,500","$1,900,000","$1,062,450","$1,851,830","$1,300,000","$383,300","$305,500","$600,000","$809,160","$475,000","$416,500","$380,000","$280,000","$380,000","$420,950","$965,000","$620,960","$448,000",,"$665,000","$827,000","$1,035,000","$500,000","$397,250","$585,260","$1,240,000","$863,500"
Sep-24,"$868,150","$1,267,500","$432,500","$465,580","$522,000","$863,750","$370,000","$689,000","$430,000","$348,000","$425,000","$397,500","$400,500","$379,000","$335,000","$265,000","$960,370","$424,120","$1,750,000","$322,500","$525,000","$399,500","$815,000","$1,000,000","$882,500","$570,000","$1,397,450","$660,000","$455,000","$605,000","$560,000","$856,130","$485,000","$1,000,000","$1,625,000","$583,550","$895,000","$2,100,000","$1,098,000","$1,927,500","$1,300,000","$374,500","$290,000","$611,000","$830,000","$480,000","$451,500","$320,000","$247,500","$376,070","$357,500","$900,000","$610,000","$440,000",,"$660,000","$810,000","$993,250","$500,000","$379,500","$579,990","$1,266,250","$850,000"
Oct-24,"$888,740","$1,266,000","$440,000","$464,000","$434,500","$869,500","$399,500","$664,000","$410,500","$353,500","$435,000","$389,990","$399,500","$340,000","$340,000","$282,500","$956,210","$438,000","$1,700,000","$465,000","$516,000","$412,000","$970,000","$919,840","$910,000","$527,500","$1,350,000","$649,200","$377,500","$635,000","$550,000","$820,000","$499,000","$1,010,000","$1,750,000","$553,950","$943,000","$2,000,000","$1,047,500","$1,990,000","$1,325,000","$379,000","$301,250","$603,000","$826,710","$485,000","$439,000","$345,000","$205,000","$391,750","$425,000","$940,000","$612,500","$435,620",,"$670,000","$835,720","$990,000","$500,000","$390,000","$599,000","$1,315,000","$865,000"
Nov-24,"$852,880","$1,285,000","$420,000","$438,950","$436,250","$897,500","$319,610","$653,120","$440,000","$359,000","$455,000","$387,500","$405,000","$367,500","$350,000","$252,160","$937,030","$415,000","$1,625,000","$405,000","$491,500","$415,000","$912,500","$930,000","$895,000","$557,500","$1,375,000","$649,490","$385,000","$628,000","$550,500","$825,920","$510,000","$975,000","$1,598,000","$540,000","$920,000","$2,194,000","$1,367,500","$1,931,050","$1,307,500","$357,250","$295,000","$597,000","$805,000","$469,500","$435,000","$302,500","$290,000","$385,000","$405,000","$912,000","$573,000","$430,000",,"$675,000","$822,000","$1,030,000","$495,000","$375,000","$600,000","$1,316,500","$850,000"
Dec-24,"$861,020","$1,180,000","$445,000","$426,500","$510,000","$875,000","$384,950","$723,000","$420,570","$420,000","$426,680","$381,000","$405,500","$372,200","$373,000","$237,000","$912,370","$430,000","$1,558,000","$510,000","$507,500","$425,000","$600,000","$932,000","$880,000","$541,200","$1,362,000","$639,480","$359,000","$624,790","$545,000","$830,000","$490,950","$975,000","$1,530,000","$535,000","$930,000","$1,844,500","$1,275,000","$1,810,000","$1,255,000","$355,000","$365,000","$570,000","$859,500","$462,750","$481,080","$326,000","$337,500","$380,990","$410,000","$895,000","$610,000","$441,000",,"$664,560","$815,500","$995,000","$492,000","$369,500","$594,950","$1,200,000","$850,000"